income,height,weight,age,marital,sex,education,afqt
32000,69,205,50,divorced,male,10,23.134
35000,67,187,52,married,female,12,23.501
10000,60,126,48,married,female,11,28.073
65000,69,235,55,married,male,11,45.744
22000,66,215,50,married,female,12,72.071
23000,69,175,51,married,male,12,42.319
850,67,170,54,married,female,12,81.039
45000,75,200,51,married,male,16,99.154
114000,76,240,48,married,male,18,91.427
3500,71,150,52,separated,male,12,NA
17000,65,122,53,married,female,17,99.324
47000,64,140,49,married,female,18,83.317
120000,70,220,52,married,male,16,95.07
52000,63,175,53,single,male,14,62.344
60000,61,230,53,single,female,17,76.633
80000,69,180,50,married,male,18,64.432
90000,67,153,52,single,male,12,35.041
15000,67,155,49,married,female,14,49.801
48000,65,115,51,married,female,12,54.083
120000,67,225,49,married,male,16,100
60000,75,285,48,married,male,13,75.727
60000,72,140,51,married,male,17,69.447
17000,67,190,51,married,female,18,86.676
5200,68,151,49,married,female,12,72.569
84000,60,130,54,divorced,female,16,91.677
54100,71,141,55,married,male,15,73.326
40000,66,196,51,married,female,13,6.771
38000,74,220,51,separated,male,12,NA
30000,73,185,49,married,male,13,53.342
30000,64,180,50,married,female,15,62.762
54000,72,245,49,married,male,12,56.187
70000,74,275,48,married,male,13,72.782
37000,63,190,52,married,female,16,88.693
42000,64,300,51,divorced,female,14,45.803
65000,64,130,53,married,female,19,73.742
70000,68,170,50,divorced,male,12,35.747
85000,61,140,55,married,female,18,15.699
38000,62,112,55,divorced,female,12,47.764
70000,74,220,54,married,male,12,0.742
34000,66,185,52,separated,female,11,2.528
31000,64,200,48,married,female,14,52.674
70000,70,230,50,married,male,17,30.312
47500,74,360,51,married,male,10,3.363
15000,73,260,49,married,male,8,7.666
28000,70,165,54,married,male,11,22.379
25000,65,190,52,married,female,9,1.31
38000,62,210,51,divorced,female,12,34.526
80000,65,140,51,married,male,12,52.167
46000,68,140,49,divorced,male,12,60.396
56000,66,215,49,married,female,12,77.715
7000,68,230,50,divorced,male,11,8.596
343830,72,190,54,married,male,20,90.12
343830,74,187,51,married,male,16,86.137
60000,70,185,52,married,male,13,43.472
12000,62,140,49,divorced,female,12,43.275
100000,70,190,55,married,male,17,85.54
43000,68,170,51,divorced,female,16,77.736
97850,68,155,53,divorced,male,18,90.095
18000,68,185,48,married,female,14,92.083
75000,74,217,54,married,male,12,39.786
43000,68,280,50,married,female,12,70.5
60000,69,270,52,widowed,female,17,47.912
300,63,150,52,single,male,12,6.845
105000,69,190,48,married,male,14,70.912
45000,59,110,48,married,female,14,25.253
35000,70,175,52,married,male,12,79.232
40000,68,200,50,married,male,16,79.303
48000,69,220,51,married,male,12,2.926
15000,72,205,48,married,male,12,2.25
30600,65,187,50,married,female,13,47.975
35000,72,235,51,married,male,12,18.326
9000,68,265,54,married,male,12,8.563
55000,64,230,51,divorced,female,18,45.808
76000,72,235,49,married,male,18,79.313
40000,68,188,52,single,male,12,88.752
30000,62,NA,49,divorced,female,14,41.58
44000,70,160,50,divorced,male,13,72.907
40000,64,175,50,divorced,female,14,36.055
50000,70,200,55,married,male,12,14.729
12000,66,130,54,widowed,female,15,18.419
500,69,146,51,divorced,male,9,31.226
22000,68,150,50,divorced,female,15,40.97
40000,72,185,54,married,female,14,46.092
50000,74,250,51,divorced,male,14,31.469
2700,69,193,51,divorced,male,10,26.594
45000,73,290,51,single,male,12,38.582
49000,63,140,53,married,female,14,80.637
12000,67,280,48,separated,male,10,26.688
28000,72,180,53,married,male,12,16.55
42000,75,200,50,married,male,12,30.429
65000,68,215,53,married,male,12,6.818
23000,61,180,51,divorced,female,12,36.158
24000,62,128,50,married,female,12,24.725
25000,63,160,50,widowed,female,12,26.792
23000,66,140,51,married,female,15,78.513
83000,69,195,49,married,male,18,97.319
34000,72,192,47,divorced,male,12,20.133
343830,68,170,53,married,male,12,69.855
40000,70,200,55,divorced,male,12,46.018
40000,68,225,53,married,male,12,51.017
36500,67,140,49,married,female,12,27.489
46700,73,172,51,divorced,male,11,21.568
86000,70,190,49,married,male,9,19.153
130000,73,210,54,married,male,18,64.45
13000,67,150,53,widowed,female,14,2.203
41000,60,170,55,married,female,12,31.508
49000,64,162,51,married,female,14,65.278
36000,73,190,49,single,male,12,70.368
74115,69,235,49,single,male,14,28.746
120000,67,144,55,divorced,female,18,80.463
32000,64,184,51,married,female,12,54.906
33000,63,222,48,divorced,female,12,20.084
67000,70,175,51,married,female,18,31.118
28000,66,145,53,separated,female,12,11.905
80000,65,250,52,married,male,12,48.786
37000,70,210,50,divorced,male,12,34.18
7000,62,138,50,married,female,12,75.744
35000,62,100,51,divorced,female,11,31.921
90000,72,217,52,divorced,male,14,52.482
20000,62,110,54,married,female,16,66.148
140000,69,175,51,married,male,16,97.088
78000,74,165,50,married,male,16,79.85
74000,72,225,48,married,male,20,89.794
38000,69,175,48,single,male,12,49.537
50000,62,173,53,married,female,12,42.361
10000,63,170,52,divorced,female,16,28.537
7500,73,200,54,single,male,15,61.347
80000,68,190,52,married,male,16,94.119
167000,72,310,51,married,male,12,68.375
67000,74,230,49,married,male,12,34.051
69000,70,195,52,divorced,male,14,32.078
23000,65,252,52,married,female,16,25.324
30000,72,230,50,married,male,12,17.362
18000,69,215,48,divorced,female,14,40.982
75000,74,235,50,married,male,16,76.332
134000,61,139,53,married,female,16,91.719
19000,63,200,53,married,female,15,63.642
38500,66,158,52,married,female,16,86.99
36000,71,160,53,married,male,16,85.915
30000,64,230,54,divorced,female,12,19.541
121000,78,270,48,married,male,16,81.325
123000,62,155,51,married,female,17,49.039
60000,70,180,54,married,male,17,89.264
343830,70,150,52,married,male,20,92.042
100000,65,190,55,divorced,female,20,38.888
20000,72,240,50,separated,male,12,38.997
32000,70,225,48,married,male,12,3.311
25000,62,190,52,divorced,female,12,13.045
16000,66,190,49,married,female,12,25.338
33500,64,NA,54,widowed,female,12,57.519
21000,60,130,50,separated,female,12,34.453
80000,68,170,54,married,male,14,22.976
26000,66,195,54,divorced,female,12,32.304
22000,62,215,52,single,female,12,36.881
86000,68,195,50,married,male,13,82.62
46200,72,170,52,married,male,12,55.782
30000,62,185,50,married,female,12,50.954
28000,67,160,52,divorced,female,13,83.737
46000,63,117,50,divorced,female,14,47.207
56000,72,195,51,divorced,male,12,23.25
36000,67,145,51,married,male,12,69.283
32000,62,160,50,single,female,12,49.173
35000,61,160,53,married,female,11,41.383
75000,70,195,53,married,male,12,38.088
36000,62,120,49,divorced,female,12,27.315
42000,71,210,51,divorced,male,16,91.6
107000,71,225,48,married,male,12,70.262
140000,71,240,52,married,male,16,71.872
116000,68,185,49,married,male,18,94.976
35000,70,180,50,married,male,18,NA
58000,65,128,48,married,female,20,79.765
111000,70,185,52,married,male,16,80.898
35000,72,200,50,married,male,18,64.498
42000,64,165,48,single,female,16,75.516
34733,67,130,54,married,female,18,98.089
100,70,250,50,single,male,20,81.33
94000,66,135,51,married,female,18,92.741
78500,63,185,52,married,female,19,56.311
60000,72,180,55,married,male,12,21.826
25000,69,155,54,married,female,14,45.056
343830,73,230,53,married,male,20,82.756
62000,71,210,52,divorced,male,12,42.935
35000,63,145,53,married,female,12,45.436
31300,64,155,51,married,female,19,98.804
75000,65,130,48,married,female,16,79.576
35000,70,205,55,married,male,15,83.208
12000,67,130,50,married,female,15,72.257
85000,74,240,50,married,male,16,82.49
2000,71,175,50,married,male,14,NA
40000,67,190,48,divorced,female,17,93.511
14000,71,240,52,married,male,18,93.432
44000,72,180,51,married,male,12,82.465
37000,63,150,48,married,female,12,61.363
35000,70,205,54,separated,male,16,81.839
63000,64,150,55,married,female,18,91.404
150000,75,180,48,married,male,20,93.464
89100,69,140,51,married,female,12,75.363
72000,67,175,48,married,female,16,92.122
48000,70,180,53,married,male,16,82.189
3000,64,125,49,divorced,female,12,47.309
25000,67,220,53,married,male,12,39.872
343830,69,155,49,single,male,16,86.877
91000,76,296,52,separated,male,12,55.885
55000,66,146,51,married,female,12,29.364
343830,72,218,51,married,male,16,83.946
135000,71,210,55,married,male,16,78.852
40000,73,275,48,married,male,12,75.258
40000,64,153,53,married,female,12,26.769
37000,68,145,55,divorced,male,16,NA
14768,64,197,54,married,female,12,34.62
43000,63,132,51,married,female,16,58.404
74000,65,146,50,married,male,14,84.974
52000,67,155,49,married,male,12,21.712
50000,74,220,54,married,male,12,44.224
58000,69,150,51,married,female,12,55.978
57200,68,165,53,single,male,18,97.299
45000,70,250,53,single,male,16,51.523
95000,69,182,54,married,male,12,77.263
107000,63,160,49,married,female,12,64.067
74000,63,186,48,married,female,12,91.63
85000,69,187,49,married,male,12,52.109
35000,64,130,48,divorced,female,13,63.71
12213,62,135,54,divorced,female,12,70.212
10000,69,200,52,married,female,16,83.581
48464,73,210,54,single,male,12,45.546
3000,73,204,49,married,male,13,55.543
12000,74,185,53,married,male,12,41.439
150000,75,190,53,married,male,16,96.442
343830,72,200,51,married,male,16,88.979
343830,71,270,50,divorced,male,16,88.914
90000,62,130,51,married,female,18,67.25
60000,66,133,50,married,female,12,51.978
42000,64,118,48,divorced,female,12,28.308
88000,60,125,50,married,female,14,17.834
32000,70,240,51,married,male,12,43.365
42500,65,168,54,married,female,12,44.379
100000,70,185,53,married,male,12,57.553
75000,69,153,50,separated,female,14,53.275
45000,66,198,49,single,female,12,57.315
6000,70,178,50,single,male,12,65.073
71000,69,160,52,married,female,18,66.668
80000,70,140,55,single,female,18,62.466
69000,75,215,48,married,male,12,90.864
39000,61,156,53,married,female,16,20.867
11000,61,134,53,divorced,female,12,41.411
55000,74,215,54,married,male,12,40.748
50000,68,250,49,widowed,female,14,55.097
31200,69,140,54,married,male,16,37.731
30000,71,175,53,divorced,male,14,52.705
8400,63,150,54,married,female,12,24.577
18000,66,200,55,married,female,8,83.931
48000,70,190,48,divorced,male,12,78.723
40000,65,155,49,married,female,16,67.602
5000,71,233,51,separated,male,14,67.877
65000,75,270,48,married,male,16,61.145
53000,64,160,52,single,female,14,27.973
150000,73,185,54,married,male,12,47.45
62000,71,205,49,married,male,12,34.339
25000,71,175,48,divorced,male,14,91.199
46000,71,230,52,married,male,18,94.207
66000,66,120,50,divorced,female,18,85.366
65000,67,140,51,divorced,female,16,73.243
11000,64,170,48,married,female,17,100
79000,68,225,52,divorced,female,17,98.236
42000,65,112,50,divorced,female,17,4.049
60000,70,214,54,divorced,male,16,92.319
39000,65,225,50,married,female,16,77.471
10576,64,165,54,single,female,10,13.143
24000,67,250,55,single,female,8,12.727
15000,64,175,49,divorced,female,12,37.759
35000,61,200,51,divorced,female,12,40.617
32000,60,170,48,married,female,14,64.065
13000,69,180,50,single,male,11,28.954
8000,72,177,49,divorced,male,8,3.732
18000,65,143,48,divorced,male,12,4.871
45000,63,250,53,married,male,12,65.206
86000,71,155,49,single,male,20,70.337
60000,64,152,50,married,female,18,84.635
96000,73,195,51,divorced,male,NA,87.785
343830,72,190,49,divorced,male,17,73.413
37000,70,168,51,married,male,11,NA
35000,72,195,52,married,male,16,77.043
17000,63,125,53,divorced,female,12,15.555
16000,66,170,55,married,female,10,0.29
56000,72,204,48,single,male,14,34.012
60000,69,217,55,married,male,11,12.878
40000,73,275,53,divorced,male,12,33.045
84000,66,195,54,divorced,male,12,80.231
23500,69,275,52,married,female,12,45.58
85000,65,145,53,married,female,12,70.03
10000,63,181,53,married,female,12,4.341
9000,63,215,50,married,female,12,8.758
112000,70,195,52,married,male,18,35.78
15000,67,215,50,widowed,female,12,14.876
45000,60,110,48,divorced,female,14,43.456
18000,63,136,52,married,female,11,7.901
83000,69,305,52,single,female,16,88.023
43000,65,151,51,single,female,12,24.473
25000,64,165,48,married,female,12,68.497
50000,71,300,51,single,male,14,76.163
96000,62,230,49,married,female,16,71.597
39957,71,245,52,divorced,male,12,65.317
35000,67,175,50,divorced,male,9,1.672
32000,69,170,51,single,male,12,59.139
40000,72,220,55,divorced,male,11,15.428
86000,69,220,55,married,male,14,97.926
171000,70,195,54,married,male,18,98.356
71000,67,130,56,widowed,female,19,89.998
343830,74,195,54,married,male,16,44.711
48000,63,125,55,divorced,female,14,55.829
123000,68,187,51,married,female,18,65.903
50000,70,160,48,single,female,4,87.203
106000,71,240,55,married,male,12,40.507
67000,63,140,56,married,female,12,44.401
21000,64,250,48,married,female,12,41.686
18000,65,175,55,married,male,10,NA
31000,67,170,51,divorced,female,15,31.89
40000,62,180,50,married,female,12,38.104
40000,61,149,50,married,female,12,22.955
33000,71,210,51,divorced,male,13,56.257
42000,64,187,53,married,female,12,28.786
33000,63,143,50,divorced,female,12,25.911
47000,73,215,49,married,male,13,65.998
44888,66,158,51,single,female,16,72.569
28000,64,185,53,divorced,female,12,17.614
135000,68,180,54,married,male,16,80.556
343830,70,173,53,married,male,16,83.528
150000,72,179,51,single,male,16,79.836
24000,66,170,51,divorced,female,11,58.247
26000,67,137,54,divorced,male,12,2.509
37000,73,230,48,divorced,male,12,8.719
10044,69,191,49,single,male,10,4.843
68000,61,233,51,married,female,16,25.334
29000,73,210,55,single,male,12,39.245
40000,65,200,52,divorced,female,14,27.018
16000,64,132,50,married,female,16,45.679
5920,62,180,53,married,female,10,20.274
30000,66,240,54,married,female,14,10.734
21000,60,200,50,married,female,13,42.776
40000,72,230,54,married,male,12,53.364
24500,69,170,51,single,male,14,26.109
20800,64,150,53,married,female,13,72.62
23000,71,198,53,married,male,16,87.82
155000,64,145,54,single,female,18,94.662
95000,72,205,48,married,male,16,62.064
44500,65,186,51,married,female,16,96.106
53000,64,150,50,married,female,16,67.83
14000,66,194,50,married,female,12,74.366
150000,71,207,55,divorced,male,13,14.174
60000,67,145,54,married,female,18,91.545
100000,66,NA,56,married,female,16,90.731
343830,71,175,52,divorced,male,20,100
165000,72,190,50,married,male,16,58.93
45000,65,170,52,married,female,18,86.394
63000,69,190,50,divorced,male,15,79.064
62000,62,200,54,married,female,18,31.096
30000,70,290,52,married,male,12,20.717
43000,61,265,51,married,female,16,15.64
35000,66,186,48,married,male,12,32.369
60000,62,118,50,married,female,16,70.028
72000,68,142,50,divorced,male,15,58.587
24000,63,170,54,married,female,9,17.116
56000,69,205,51,single,male,15,23.078
25000,73,230,51,single,male,9,0.349
32000,72,210,49,married,male,8,7.028
16000,68,195,53,separated,female,12,24.26
150000,67,240,54,single,female,20,82.941
18000,65,167,51,separated,female,10,0.47
29000,69,190,49,single,male,12,3.778
19000,71,165,50,married,male,12,14.118
20000,66,156,52,married,female,12,14.231
18000,66,180,52,divorced,female,12,0.899
29000,69,210,49,married,male,12,7.51
26000,68,244,53,single,female,12,15.04
7000,66,150,54,widowed,female,11,1.21
70000,72,260,50,married,male,12,48.703
25000,61,NA,55,separated,female,14,18.945
60000,60,120,49,married,female,19,86.922
8500,67,145,53,separated,female,18,36.925
10000,61,150,52,married,female,16,17.52
51000,63,160,50,married,male,13,9.121
55000,61,155,49,married,female,12,38.073
32000,67,265,53,divorced,male,12,29.091
72072,67,207,54,married,female,14,54.782
52300,70,145,48,divorced,female,18,70.563
32000,62,163,49,divorced,female,12,45.325
64000,71,215,54,divorced,male,12,64.562
21000,61,145,55,married,female,13,31.365
77000,67,138,54,divorced,female,18,54.28
24000,66,170,48,married,female,13,52.948
60097,71,225,50,married,male,13,17.735
18000,75,239,48,married,male,10,34.121
38000,70,190,52,married,male,9,10.889
40000,63,130,53,married,female,18,83.788
26240,63,204,51,married,female,14,74.608
200,66,180,54,single,male,12,58.315
75000,71,200,50,divorced,male,12,59.704
42000,71,230,53,married,male,12,37.465
14000,66,114,52,divorced,female,16,73.865
49450,64,185,49,divorced,female,16,92.033
45000,64,170,54,married,female,15,81.419
21000,69,180,52,married,male,12,33.843
16800,65,125,49,divorced,female,18,92.277
36600,66,189,49,married,female,18,96.091
34000,65,190,51,divorced,female,16,6.841
85000,72,275,50,married,male,14,7.088
32000,72,237,54,married,male,15,10.393
23000,74,225,49,single,male,12,26.637
32000,65,134,54,single,female,14,38.983
17000,73,185,49,divorced,male,14,8.107
40000,56,202,53,married,female,16,35.191
33000,66,190,49,widowed,male,14,51.781
2000,60,160,50,separated,female,12,37.982
26000,72,135,48,single,male,7,35.904
38500,68,175,53,married,male,12,27.851
114000,73,220,50,married,male,18,75.712
39000,65,140,49,separated,female,12,48.847
